tiempo;angulo;tiempoDev;derivada
26898;133;9;44
26904;133;9;44
26910;133;9;44
26919;132;49;-8
26925;132;49;-8
26931;132;49;-8
26937;132;49;-8
26943;131;25;-16
26949;131;25;-16
26955;131;25;-16
26961;131;25;-16
26967;131;25;-16
26970;131;25;-16
26976;131;25;-16
26982;131;25;-16
26988;131;25;-16
26994;131;25;-16
27000;131;25;-16
27006;131;25;-16
27012;131;25;-16
27018;131;25;-16
27024;131;25;-16
27033;131;25;-16
27039;131;25;-16
27045;131;25;-16
27048;131;25;-16
27054;131;25;-16
27060;131;25;-16
27066;131;25;-16
27072;131;25;-16
27078;131;25;-16
27084;131;25;-16
