tiempo;error;integral;derivada;setPoint
23922;3041;10000;-825;1020;
23928;3025;10000;-825;1020;
23934;3010;10000;-825;1020;
23940;3004;10000;-825;1020;
23946;2988;10000;-825;1020;
23952;2973;10000;-825;1020;
23958;2957;10000;-825;1020;
23964;2984;10000;-745;1020;
23970;2962;10000;-745;1020;
23976;2946;10000;-745;1020;
23982;2924;10000;-745;1020;
23988;2918;10000;-745;1020;
23994;2903;10000;-745;1020;
24000;2881;10000;-745;1020;
24006;2875;10000;-745;1020;
24012;2853;10000;-745;1020;
24018;2831;10000;-745;1020;
24024;2799;10000;-679;1020;
24030;2777;10000;-679;1020;
24036;2771;10000;-679;1020;
24042;2749;10000;-679;1020;
24048;2743;10000;-679;1020;
24054;2695;10000;-679;1020;
24060;2663;10000;-679;1020;
24066;2641;10000;-679;1020;
24072;2635;10000;-679;1020;
24078;2606;10000;-492;1020;
24084;2600;10000;-492;1020;
24090;2568;10000;-492;1020;
24096;2546;10000;-492;1020;
24102;2514;10000;-492;1020;
24108;2502;10000;-492;1020;
24114;2454;10000;-492;1020;
24120;2448;10000;-492;1020;
